Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS
1,Florida State,16,4,0.8,26,5,0.839,75.4,65.7,17.3,7.6
2,Duke,15,5,0.75,25,6,0.806,82.5,68,22.6,8
2,Louisville,15,5,0.75,24,7,0.774,74.1,63.7,17.9,7.6
2,Virginia,15,5,0.75,23,7,0.767,57,52.4,12.2,7.5
5,Georgia Tech,11,9,0.55,17,14,0.548,68.6,66.4,10.5,9.2
6,North Carolina State,10,10,0.5,20,12,0.625,74.6,69.7,12,7.1
6,Notre Dame,10,10,0.5,20,12,0.625,74.3,68.7,11.2,5.6
6,Syracuse,10,10,0.5,18,14,0.563,74.3,69.3,12.3,7.3
9,Clemson,9,11,0.45,16,15,0.516,66.5,64.1,10.3,7.9
10,Virginia Tech,7,13,0.35,16,16,0.5,68.6,66.5,8.2,6.2
10,Miami (FL),7,13,0.35,15,16,0.484,71.2,73.2,6.6,8.7
10,Boston College,7,13,0.35,13,19,0.406,64.6,70.6,1.8,7.9
13,Pittsburgh,6,14,0.3,16,17,0.485,65.2,65.7,6.8,7.3
13,North Carolina,6,14,0.3,14,19,0.424,72.2,72.8,9.4,10.1
13,Wake Forest,6,14,0.3,13,18,0.419,73.4,74.9,6.7,8.1
