Date,Day,Time,Location,Opponent,Venue,Game Type,Result
12/7/19,Saturday,12:00 PM,Away,Georgia Tech,"Atlanta, GA McCamish Pavilion",ACC,"W, 97-63"
1/4/20,Saturday,4:00 PM,Home,Notre Dame,"Syracuse, N.Y. Carrier Dome",ACC,"L, 87-88"
1/7/20,Tuesday,9:00 PM,Home,Virginia Tech,"Syracuse, N.Y. Carrier Dome",ACC,"L, 63-67"
1/11/20,Saturday,4:00 PM,Away,Virginia,"Charlottesville, VA JPJ Arena",ACC,"W, 63-55"
1/15/20,Wednesday,6:30 PM,Home,Boston College,"Syracuse, N.Y. Carrier Dome",ACC,"W, 76-50"
1/18/20,Saturday,12:00 PM,Away,Virginia Tech,"Blacksburg, VA Cassell Coliseum",ACC,"W, 71-69"
1/22/20,Wednesday,7:00 PM,Away,Notre Dame,"South Bend, Ind. Joyce Center",ACC,"W, 84-82"
1/25/20,Saturday,12:00 PM,Home,Pittsburgh,"Syracuse, N.Y. Carrier Dome",ACC,"W, 69-61"
1/28/20,Tuesday,7:00 PM,Away,Clemson,"Clemson, SC Littlejohn Coliseum",ACC,"L, 70-71"
2/1/20,Saturday,8:00 PM,Home,Duke,"Syracuse, N.Y. Carrier Dome",ACC,"L, 88-97"
2/8/20,Saturday,8:00 PM,Home,Wake Forest,"Syracuse, N.Y. Carrier Dome",ACC,"W, 75-73"
2/11/20,Tuesday,7:00 PM,Home,NC State,"Syracuse, N.Y. Carrier Dome",ACC,"L, 74-79"
2/15/20,Saturday,12:00 PM,Away,Florida State,"Tallahassee, FL Donald Tucker Center",ACC,"L, 77-80"
2/19/20,Wednesday,7:00 PM,Away,Louisville,"Louisville, KY KFC Yum Center",ACC,"L, 66-90"
2/22/20,Saturday,4:00 PM,Home,Georgia Tech,"Syracuse, N.Y. Carrier Dome",ACC,"W, 79-72"
2/26/20,Wednesday,7:00 PM,Away,Pittsburgh,"Pittsburgh, PA Petersen Events Center",ACC,"W, 72-49"
2/29/20,Saturday,4:00 PM,Home,North Carolina,"Syracuse, N.Y. Carrier Dome",ACC,"L, 79-92"
3/3/20,Tuesday,7:00 PM,Away,Boston College,"Chestnut Hill, MA Conte Forum",ACC,"W, 84-71"
3/7/20,Saturday,4:00 PM,Away,Miami,"Coral Gables, FL Watsco Center",ACC,"L, 65-69 OT"
3/11/20,Wednesday,9:00 PM,Neutral,North Carolina,"Greensboro, N.C. Greensboro Coliseum",ACC Tournament,"W, 81-53"
