Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Elijah Hughes,32,32,36.7,6.2,14.5,0.427,3.8,7.4,0.508,2.4,7.1,0.342,4.2,5.2,0.813,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19
Buddy Boeheim,32,32,35.6,5.5,13.6,0.407,2.5,5.4,0.462,3,8.2,0.37,1.3,1.8,0.714,0.4,1.5,1.9,2.2,1.1,0.2,1.5,1.7,15.3
Joseph Girard III,32,30,33,3.8,11,0.348,1.6,4.2,0.385,2.2,6.8,0.324,2.6,2.9,0.894,0.2,2.9,3,3.5,1.5,0.1,1.9,1.5,12.4
Marek Dolezaj,32,32,33.3,3.5,6.8,0.507,3.4,6.6,0.519,0,0.2,0.143,3.4,4.6,0.747,2.3,4.2,6.4,2.7,1.1,0.8,1.9,3.3,10.4
Quincy Guerrier,32,0,20.3,2.4,4.8,0.497,2.3,4.1,0.565,0.1,0.8,0.125,2,3.3,0.606,1.8,3.5,5.3,0.6,0.5,0.8,1.3,2.6,6.9
Bourama Sidibe,32,32,24,2.5,3.7,0.692,2.5,3.7,0.692,0,0,,1,1.8,0.554,2.8,4.8,7.6,0.2,1.3,1.4,0.9,4.1,6
Jesse Edwards,21,0,6.9,0.9,1.1,0.792,0.9,1.1,0.792,0,0,,0.6,0.9,0.632,0.5,1.1,1.7,0,0.2,0.5,0.3,1,2.4
Brycen Goodine,23,0,8.7,0.7,2.2,0.3,0.5,1.1,0.462,0.1,1,0.125,0.5,0.6,0.786,0.3,0.8,1,0.7,0.5,0.1,0.7,0.7,1.9
Robert Braswell,7,0,6.9,0.6,1.3,0.444,0,0.4,0,0.6,0.9,0.667,0,0,,0.1,1,1.1,0,0.4,0,0.3,0.4,1.7
Jalen Carey,2,2,11.5,0.5,4,0.125,0.5,4,0.125,0,0,,0.5,2,0.25,1,2,3,0.5,0.5,0,1.5,0.5,1.5
Howard Washington,20,0,7.4,0.4,1.3,0.269,0.3,0.7,0.385,0.1,0.7,0.154,0.4,0.4,1,0.1,0.8,0.9,1.2,0.4,0,0.6,0.2,1.2
Brendan Paul,7,0,1.3,0.1,0.7,0.2,0,0,,0.1,0.7,0.2,0,0,,0,0.1,0.1,0,0,0,0,0,0.4
Shaun Belbey,9,0,1.3,0,0.2,0,0,0.2,0,0,0,,0,0,,0,0.1,0.1,0,0,0,0.1,0,0
Nick Giancola,5,0,1.2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Chris Lavalle,5,0,1.2,0,0,,0,0,,0,0,,0,0,,0,0,0,0.6,0,0,0.2,0,0
