Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Elijah Hughes,32,32,1175,198,464,0.427,120,236,0.508,78,228,0.342,135,166,0.813,14,144,158,109,37,26,73,58,609
Buddy Boeheim,32,32,1138,177,435,0.407,80,173,0.462,97,262,0.37,40,56,0.714,12,49,61,69,35,6,47,54,491
Joseph Girard III,32,30,1057,122,351,0.348,52,135,0.385,70,216,0.324,84,94,0.894,5,92,97,113,47,3,60,47,398
Marek Dolezaj,32,32,1064,111,219,0.507,110,212,0.519,1,7,0.143,109,146,0.747,72,134,206,87,36,27,62,104,332
Quincy Guerrier,32,0,651,77,155,0.497,74,131,0.565,3,24,0.125,63,104,0.606,57,113,170,19,15,25,43,83,220
Bourama Sidibe,32,32,768,81,117,0.692,81,117,0.692,0,0,,31,56,0.554,89,153,242,6,40,44,30,131,193
Jesse Edwards,21,0,145,19,24,0.792,19,24,0.792,0,0,,12,19,0.632,11,24,35,0,4,10,6,21,50
Brycen Goodine,23,0,200,15,50,0.3,12,26,0.462,3,24,0.125,11,14,0.786,6,18,24,16,11,2,17,17,44
Howard Washington,20,0,148,7,26,0.269,5,13,0.385,2,13,0.154,7,7,1,2,15,17,24,8,0,11,3,23
Robert Braswell,7,0,48,4,9,0.444,0,3,0,4,6,0.667,0,0,,1,7,8,0,3,0,2,3,12
Jalen Carey,2,2,23,1,8,0.125,1,8,0.125,0,0,,1,4,0.25,2,4,6,1,1,0,3,1,3
Brendan Paul,7,0,9,1,5,0.2,0,0,,1,5,0.2,0,0,,0,1,1,0,0,0,0,0,3
Shaun Belbey,9,0,12,0,2,0,0,2,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
Nick Giancola,5,0,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Chris Lavalle,5,0,6,0,0,,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,0,0
School Totals,32,,6450,813,1865,0.436,554,1080,0.513,259,785,0.33,493,666,0.74,336,809,1145,447,237,143,363,522,2378
